x,y,vel_x,vel_y
-0.225924,0.138416,0.0891532,-0.0959346
-0.225143,0.137537,0.0662516,-0.0802302
-0.22461,0.136805,0.0399949,-0.0666021
-0.224347,0.136198,0.0124666,-0.0549707
-0.224361,0.135707,-0.0151202,-0.0429178
-0.224648,0.135344,-0.0420724,-0.0295334
-0.225197,0.135104,-0.0673687,-0.0196882
-0.225976,0.134928,-0.0869494,-0.0166459
-0.226909,0.134763,-0.0983829,-0.0161298
-0.227925,0.134614,-0.104257,-0.0130869
-0.228985,0.134514,-0.107605,-0.00622301
-0.230069,0.134494,-0.108596,0.00206929
-0.231146,0.134545,-0.106141,0.00714233
-0.232187,0.13463,-0.102043,0.0100832
-0.23319,0.134758,-0.098943,0.016398
-0.234175,0.134978,-0.0985189,0.0288856
-0.235171,0.135356,-0.101137,0.0475548
-0.236201,0.135938,-0.104805,0.0689514
-0.237256,0.136719,-0.105368,0.0856041
-0.238295,0.137635,-0.10204,0.0974871
-0.239295,0.138679,-0.0982308,0.112303
-0.240269,0.1399,-0.0972396,0.13302
-0.241253,0.141347,-0.100079,0.156181
-0.242272,0.142994,-0.103221,0.170421
-0.24331,0.144703,-0.104096,0.168751
-0.244348,0.146326,-0.103417,0.153968
-0.245374,0.147753,-0.101599,0.130371
-0.246375,0.14892,-0.0980539,0.102849
-0.247326,0.149812,-0.0915714,0.0760815
-0.248194,0.150453,-0.0815838,0.0526491
-0.248946,0.150878,-0.0680905,0.033166
-0.249543,0.151127,-0.0506334,0.0168991
-0.249935,0.151212,-0.0262618,-0.000515236
-0.250035,0.151097,0.00805319,-0.0236234
-0.249747,0.150725,0.0505501,-0.0513284
-0.24903,0.150084,0.0912047,-0.0749602
-0.247941,0.149248,0.126358,-0.0918277
-0.246514,0.148259,0.158209,-0.105256
-0.244826,0.147176,0.175377,-0.108748
-0.243087,0.146135,0.168454,-0.097037
-0.241508,0.14527,0.146106,-0.0748994
-0.240173,0.144654,0.121156,-0.0477282
-0.239076,0.144318,0.0990451,-0.0197102
-0.238182,0.144241,0.0802305,0.00285552
-0.237465,0.144347,0.0631237,0.0168769
-0.236918,0.144554,0.0463508,0.023389
-0.236538,0.144801,0.0297022,0.0257049
-0.236321,0.145058,0.0139131,0.025113
-0.236255,0.14529,-0.000431264,0.0205998
-0.236326,0.145463,-0.013736,0.0139922
-0.23653,0.145575,-0.0270198,0.00910289
-0.23687,0.14566,-0.0413327,0.0084298
-0.237354,0.145756,-0.0549088,0.0114329
-0.237958,0.145889,-0.0654714,0.0146925
-0.238645,0.146045,-0.070643,0.0164762
-0.239348,0.146214,-0.0689715,0.0167753
-0.240013,0.146374,-0.0637341,0.0150199
-0.240624,0.146509,-0.0586982,0.0117296
-0.241192,0.1466,-0.0552637,0.00596265
-0.241733,0.146626,-0.053087,-0.000563004
-0.242255,0.146599,-0.0513728,-0.00416896
-0.242762,0.146556,-0.0500005,-0.00373953
-0.243257,0.146535,-0.0491666,-1.08024E-05
-0.243746,0.14656,-0.0487746,0.00515484
-0.244233,0.146634,-0.0484773,0.00919973
-0.244715,0.14674,-0.0477712,0.0120214
-0.245187,0.146875,-0.0465495,0.0149977
-0.245644,0.147049,-0.0449438,0.0207087
-0.246084,0.147299,-0.0427561,0.0292835
-0.246495,0.147622,-0.0391845,0.0338986
-0.246863,0.147952,-0.0342636,0.0309593
-0.24718,0.148219,-0.0293751,0.021334
-0.24746,0.148373,-0.0273403,0.0101378
-0.24774,0.148424,-0.0291976,-0.000237893
-0.248052,0.148364,-0.0336328,-0.0120491
-0.24842,0.148193,-0.0401708,-0.0208108
-0.248861,0.147974,-0.0484191,-0.02148
-0.249391,0.147788,-0.0575634,-0.0148632
-0.250014,0.147686,-0.0670443,-0.00565773
-0.250728,0.147671,-0.0752859,0.00251411
-0.251509,0.147732,-0.0802182,0.00942398
-0.252317,0.147858,-0.0806503,0.0156447
-0.253105,0.148038,-0.0762541,0.0199128
-0.253825,0.148243,-0.0666065,0.0202391
-0.254416,0.148425,-0.0504876,0.0150603
-0.254807,0.148514,-0.0261639,0.000838614
-0.25491,0.148405,0.00686866,-0.0242168
-0.254656,0.148005,0.0440386,-0.0567357
-0.254059,0.147285,0.072397,-0.0850118
-0.253259,0.146344,0.0855555,-0.101249
-0.252382,0.145292,0.0884839,-0.107678
-0.25151,0.144216,0.0850377,-0.106647
-0.250693,0.143174,0.0780896,-0.101205
-0.249954,0.142197,0.069386,-0.0940772
-0.249307,0.141293,0.0602235,-0.086997
-0.248747,0.140455,0.0517778,-0.0807544
-0.248267,0.139675,0.0446755,-0.0752429
-0.247846,0.138948,0.039844,-0.0701155
-0.247458,0.138272,0.0384595,-0.0653077
-0.247065,0.13764,0.0408134,-0.0611037
-0.246633,0.137048,0.0459094,-0.0573748
-0.246143,0.136492,0.0521846,-0.0538236
-0.245591,0.135972,0.0579701,-0.050234
-0.24499,0.135489,0.0616367,-0.0461705
-0.244369,0.13505,0.0620274,-0.0414876
-0.243761,0.13466,0.0589484,-0.0365325
-0.2432,0.134319,0.0527704,-0.0316126
-0.242715,0.134028,0.0439946,-0.0265645
-0.242325,0.133787,0.0337692,-0.0217861
-0.242035,0.133584,0.024788,-0.019525
-0.241822,0.133386,0.017934,-0.0205167
-0.241672,0.133167,0.0122817,-0.023498
-0.241572,0.132911,0.00804285,-0.0279406
-0.241508,0.132605,0.00471779,-0.0334502
-0.241477,0.13224,0.00146243,-0.0396483
-0.241479,0.13181,-0.00167557,-0.0465215
-0.241509,0.131306,-0.00437534,-0.054288
-0.241566,0.13072,-0.00693397,-0.0633016
-0.241648,0.130038,-0.00958576,-0.0731197
