id,t,x,y,z
"18716047","180","-0.0924042","-0.0747245","-0.0426771"
"18716048","181","-0.0928513","-0.0744118","-0.0442046"
"18716049","182","-0.0932966","-0.0741219","-0.045827"
"18716050","183","-0.0937531","-0.0738873","-0.0474843"
"18716051","184","-0.0942379","-0.0737488","-0.0491612"
"18716052","185","-0.0947697","-0.0737496","-0.0508637"
"18716053","186","-0.0953632","-0.0739189","-0.0525866"
"18716054","187","-0.0960188","-0.0742431","-0.0542778"
"18716055","188","-0.0967234","-0.0746539","-0.0558389"
"18716056","189","-0.0974944","-0.0751085","-0.0572386"
"18716057","190","-0.0983752","-0.0755918","-0.0585097"
"18716058","191","-0.0994271","-0.0760996","-0.0596926"
"18716059","192","-0.100715","-0.0766209","-0.0608115"
"18716060","193","-0.102318","-0.0771456","-0.0618727"
"18716061","194","-0.104294","-0.0776536","-0.062863"
"18716062","195","-0.10659","-0.0780978","-0.0637521"
"18716063","196","-0.109022","-0.078403","-0.0645083"
"18716064","197","-0.111507","-0.0785182","-0.0651386"
"18716065","198","-0.114046","-0.0784272","-0.0656913"
"18716066","199","-0.11667","-0.0781251","-0.0662164"
"18716067","200","-0.119412","-0.0776036","-0.0667473"
"18716068","201","-0.122291","-0.0768491","-0.067301"
"18716069","202","-0.125305","-0.0758464","-0.0678832"
"18716070","203","-0.128438","-0.0745833","-0.068493"
"18716071","204","-0.131673","-0.0730665","-0.0691274"
"18716072","205","-0.134967","-0.0713562","-0.0697796"
"18716073","206","-0.13827","-0.069536","-0.0704439"
"18716074","207","-0.141537","-0.0676921","-0.0711124"
"18716075","208","-0.144727","-0.0659064","-0.0717768"
"18716076","209","-0.147803","-0.0642517","-0.0724318"
"18716077","210","-0.150734","-0.0627866","-0.073076"
"18716078","211","-0.153498","-0.0615545","-0.0737152"
"18716079","212","-0.15609","-0.060581","-0.0743604"
"18716080","213","-0.158525","-0.0598808","-0.0750227"
"18716081","214","-0.160836","-0.0594591","-0.0757038"
"18716082","215","-0.163037","-0.0593147","-0.0764093"
"18716083","216","-0.165149","-0.059442","-0.0771325"
"18716084","217","-0.167208","-0.0598273","-0.0778604"
"18716085","218","-0.169236","-0.0604531","-0.078578"
"18716086","219","-0.171247","-0.0612928","-0.0792741"
"18716087","220","-0.173248","-0.0623063","-0.0799393"
"18716088","221","-0.175247","-0.0634508","-0.0805635"
"18716089","222","-0.177251","-0.0646868","-0.0811386"
"18716090","223","-0.179265","-0.065984","-0.0816597"
"18716091","224","-0.181291","-0.0673221","-0.082124"
"18716092","225","-0.183333","-0.06869","-0.082529"
"18716093","226","-0.185391","-0.0700852","-0.0828715"
"18716094","227","-0.187472","-0.0715078","-0.0831439"
"18716095","228","-0.189587","-0.0729591","-0.0833271"
"18716096","229","-0.191755","-0.0744317","-0.083388"
"18716097","230","-0.193998","-0.07591","-0.0832932"
"18716098","231","-0.196331","-0.0773746","-0.0830225"
"18716099","232","-0.198746","-0.0787996","-0.0825942"
"18716100","233","-0.201205","-0.0801698","-0.0820592"
"18716101","234","-0.203629","-0.0814917","-0.0814913"
"18716102","235","-0.205927","-0.0827778","-0.0809472"
"18716103","236","-0.208051","-0.0840479","-0.0804739"
"18716104","237","-0.209986","-0.0853281","-0.0800997"
"18716105","238","-0.21173","-0.0866522","-0.0798389"
"18716106","239","-0.213301","-0.0880455","-0.0796761"
"18716107","240","-0.214718","-0.0895361","-0.0795925"
"18716108","241","-0.21602","-0.0911365","-0.0795557"
"18716109","242","-0.21725","-0.0928641","-0.0795538"
"18716110","243","-0.218436","-0.0947362","-0.0796001"
"18716111","244","-0.219623","-0.0967354","-0.0797031"
"18716112","245","-0.220848","-0.0988265","-0.0798404"
"18716113","246","-0.222147","-0.100949","-0.0799521"
"18716114","247","-0.223552","-0.103044","-0.0799728"
"18716115","248","-0.225065","-0.105092","-0.0798722"
"18716116","249","-0.226662","-0.107103","-0.0796659"
"18716117","250","-0.228312","-0.109106","-0.0793796"
"18716118","251","-0.229983","-0.111135","-0.0790491"
"18716119","252","-0.231645","-0.113229","-0.0787097"
"18716120","253","-0.233275","-0.115422","-0.0783865"
"18716121","254","-0.234856","-0.117745","-0.0780947"
"18716122","255","-0.236375","-0.120204","-0.0778471"
"18716123","256","-0.237825","-0.12277","-0.0776553"
"18716124","257","-0.239207","-0.12543","-0.0775051"
"18716125","258","-0.24053","-0.128194","-0.0773571"
"18716126","259","-0.241808","-0.131078","-0.0771697"
"18716127","260","-0.243062","-0.134082","-0.0769103"
"18716128","261","-0.244311","-0.1372","-0.0765598"
"18716129","262","-0.245578","-0.140401","-0.0761163"
"18716130","263","-0.246887","-0.143616","-0.0755919"
"18716131","264","-0.248263","-0.146721","-0.075011"
"18716132","265","-0.249713","-0.149538","-0.0744088"
"18716133","266","-0.251212","-0.151843","-0.0738189"
"18716134","267","-0.25267","-0.153417","-0.0732553"
"18716135","268","-0.253938","-0.154116","-0.0727018"
"18716136","269","-0.254863","-0.153914","-0.0721232"
"18716137","270","-0.255392","-0.152924","-0.0714924"
"18716138","271","-0.255617","-0.15137","-0.0708098"
"18716139","272","-0.255743","-0.149537","-0.0701039"
"18716140","273","-0.256014","-0.147723","-0.0694162"
"18716141","274","-0.256612","-0.14618","-0.0687792"
"18716142","275","-0.257587","-0.145066","-0.0681968"
"18716143","276","-0.258865","-0.144431","-0.067644"
"18716144","277","-0.260312","-0.144235","-0.0670859"
"18716145","278","-0.261793","-0.144362","-0.0665032"
"18716146","279","-0.263235","-0.144688","-0.0658928"
"18716147","280","-0.264605","-0.145141","-0.0652475"
"18716148","281","-0.265856","-0.145723","-0.0645396"
"18716149","282","-0.266931","-0.14648","-0.0637331"
"18716150","283","-0.267805","-0.147452","-0.0628085"
"18716151","284","-0.268537","-0.148604","-0.0617976"
"18716152","285","-0.269296","-0.149789","-0.060798"
