id,t,x,y,z
"2760819","180","0.132476","0.0077534","-0.043085"
"2760820","181","0.134889","0.00676058","-0.0422899"
"2760821","182","0.13726","0.0056742","-0.0414522"
"2760822","183","0.139581","0.00448162","-0.0405915"
"2760823","184","0.141855","0.00317667","-0.0397282"
"2760824","185","0.144081","0.00175867","-0.0388773"
"2760825","186","0.146261","0.000232968","-0.0380512"
"2760826","187","0.148402","-0.00139128","-0.0372608"
"2760827","188","0.150518","-0.00309454","-0.0365077"
"2760828","189","0.152631","-0.00485304","-0.0357821"
"2760829","190","0.154758","-0.00664375","-0.0350693"
"2760830","191","0.156911","-0.00844398","-0.0343596"
"2760831","192","0.159102","-0.0102326","-0.0336452"
"2760832","193","0.161326","-0.011994","-0.0329193"
"2760833","194","0.163564","-0.013717","-0.0321781"
"2760834","195","0.165785","-0.0154141","-0.0314224"
"2760835","196","0.167957","-0.0171051","-0.0306554"
"2760836","197","0.170059","-0.0187846","-0.0298877"
"2760837","198","0.172086","-0.0204266","-0.0291276"
"2760838","199","0.174033","-0.0220022","-0.0283748"
"2760839","200","0.175912","-0.0234854","-0.0276215"
"2760840","201","0.177723","-0.0248516","-0.0268659"
"2760841","202","0.17947","-0.0260703","-0.0261084"
"2760842","203","0.18115","-0.0271328","-0.0253437"
"2760843","204","0.182772","-0.0280448","-0.0245624"
"2760844","205","0.184344","-0.0288113","-0.0237633"
"2760845","206","0.185888","-0.0294266","-0.0229532"
"2760846","207","0.187426","-0.0298836","-0.0221514"
"2760847","208","0.18899","-0.0301731","-0.0213902"
"2760848","209","0.190624","-0.0302748","-0.0206944"
"2760849","210","0.192371","-0.0301687","-0.0200833"
"2760850","211","0.194261","-0.0298508","-0.0195632"
"2760851","212","0.196293","-0.0293314","-0.0191351"
"2760852","213","0.19846","-0.0286252","-0.018799"
"2760853","214","0.200745","-0.0277577","-0.0185556"
"2760854","215","0.203124","-0.0267432","-0.018403"
"2760855","216","0.205599","-0.0256007","-0.0183333"
"2760856","217","0.208182","-0.0243558","-0.0183466"
"2760857","218","0.210903","-0.0230506","-0.0184327"
"2760858","219","0.213785","-0.0217314","-0.0185739"
"2760859","220","0.216842","-0.020429","-0.0187491"
"2760860","221","0.220097","-0.0191447","-0.0189277"
"2760861","222","0.223555","-0.0178767","-0.0190859"
"2760862","223","0.227187","-0.0166268","-0.0192086"
"2760863","224","0.230954","-0.0153989","-0.0192824"
"2760864","225","0.234808","-0.0142034","-0.0192969"
"2760865","226","0.238699","-0.0130583","-0.0192467"
"2760866","227","0.242579","-0.0119807","-0.0191326"
"2760867","228","0.246421","-0.0109888","-0.0189518"
"2760868","229","0.250199","-0.0100865","-0.0187021"
